slot_id,start_time,end_time,duration_minutes,day_period,max_bookings,current_bookings,available_slots,status
SLOT-001,00:00,00:30,30,Late Night,20,0,20,Available
SLOT-002,00:30,01:00,30,Late Night,20,0,20,Available
SLOT-003,01:00,01:30,30,Late Night,20,0,20,Available
SLOT-004,01:30,02:00,30,Late Night,20,0,20,Available
SLOT-005,02:00,02:30,30,Late Night,20,0,20,Available
SLOT-006,02:30,03:00,30,Late Night,20,0,20,Available
SLOT-007,03:00,03:30,30,Late Night,20,0,20,Available
SLOT-008,03:30,04:00,30,Late Night,20,0,20,Available
SLOT-009,04:00,04:30,30,Late Night,20,0,20,Available
SLOT-010,04:30,05:00,30,Late Night,20,0,20,Available
SLOT-011,05:00,05:30,30,Early Morning,20,0,20,Available
SLOT-012,05:30,06:00,30,Early Morning,20,0,20,Available
SLOT-013,06:00,06:30,30,Early Morning,20,0,20,Available
SLOT-014,06:30,07:00,30,Early Morning,20,0,20,Available
SLOT-015,07:00,07:30,30,Early Morning,20,0,20,Available
SLOT-016,07:30,08:00,30,Early Morning,20,0,20,Available
SLOT-017,08:00,08:30,30,Morning,20,0,20,Available
SLOT-018,08:30,09:00,30,Morning,20,0,20,Available
SLOT-019,09:00,09:30,30,Morning,20,0,20,Available
SLOT-020,09:30,10:00,30,Morning,20,0,20,Available
SLOT-021,10:00,10:30,30,Morning,20,0,20,Available
SLOT-022,10:30,11:00,30,Morning,20,0,20,Available
SLOT-023,11:00,11:30,30,Morning,20,0,20,Available
SLOT-024,11:30,12:00,30,Morning,20,0,20,Available
SLOT-025,12:00,12:30,30,Afternoon,20,0,20,Available
SLOT-026,12:30,13:00,30,Afternoon,20,0,20,Available
SLOT-027,13:00,13:30,30,Afternoon,20,0,20,Available
SLOT-028,13:30,14:00,30,Afternoon,20,0,20,Available
SLOT-029,14:00,14:30,30,Afternoon,20,0,20,Available
SLOT-030,14:30,15:00,30,Afternoon,20,0,20,Available
SLOT-031,15:00,15:30,30,Afternoon,20,0,20,Available
SLOT-032,15:30,16:00,30,Afternoon,20,0,20,Available
SLOT-033,16:00,16:30,30,Afternoon,20,0,20,Available
SLOT-034,16:30,17:00,30,Afternoon,20,0,20,Available
SLOT-035,17:00,17:30,30,Evening Peak,25,0,25,Available
SLOT-036,17:30,18:00,30,Evening Peak,25,0,25,Available
SLOT-037,18:00,18:30,30,Evening Peak,25,0,25,Available
SLOT-038,18:30,19:00,30,Evening Peak,25,0,25,Available
SLOT-039,19:00,19:30,30,Evening Peak,25,0,25,Available
SLOT-040,19:30,20:00,30,Evening Peak,25,0,25,Available
SLOT-041,20:00,20:30,30,Evening Peak,25,0,25,Available
SLOT-042,20:30,21:00,30,Evening Peak,25,0,25,Available
SLOT-043,21:00,21:30,30,Night,20,0,20,Available
SLOT-044,21:30,22:00,30,Night,20,0,20,Available
SLOT-045,22:00,22:30,30,Night,20,0,20,Available
SLOT-046,22:30,23:00,30,Night,20,0,20,Available
SLOT-047,23:00,23:30,30,Night,20,0,20,Available
SLOT-048,23:30,24:00,30,Night,20,0,20,Available
